algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,phi1,phi2,smin,smax,weight,mut_std,mut_indpb,mut_prob,temp,alpha
MuPlusLambda,136.0,274.0,0.26,0.74,0.48,0.94,0.0,0.74,0.54,100,122,110,12,0,0,187,0.0,205,,,,,,,,,,
PlantPropagation,283.0,106.0,,,0.19,,,,,100,122,110,12,0,0,187,34.0,256,,,,,,0.17,0.39,,,
PlantPropagation,179.0,119.0,,,0.47,,,,,100,122,110,12,0,0,187,6.0,271,,,,,,0.31,0.71,,,
SimulatedAnnealing,13.0,,,,0.47,,,,,100,122,110,12,0,0,187,0.0,336,,,,,,0.77,,0.58,188.53,0.89
PlantPropagation,78.0,125.0,,,0.11,,,,,100,122,110,12,0,0,187,0.0,281,,,,,,1.81,0.54,,,
ParticleSwarm,179.0,,,,0.76,,,,,100,122,110,12,0,0,187,0.0,232,6.18,2.91,-0.74,0.74,0.26,,,,,
MuPlusLambda,258.0,41.0,0.95,0.050000000000000044,0.51,0.53,0.0,1.45,0.39,100,122,110,12,0,0,187,0.0,212,,,,,,,,,,
ParticleSwarm,189.0,,,,0.17,,,,,100,122,110,12,0,0,187,0.0,195,9.03,9.46,-1.4,1.4,0.94,,,,,
MuPlusLambda,35.0,25.0,0.72,0.28,0.03,0.49,0.0,1.95,0.75,100,122,110,12,0,0,187,68.0,174,,,,,,,,,,
SimulatedAnnealing,25.0,,,,0.06,,,,,100,122,110,12,0,0,187,0.0,373,,,,,,1.07,,0.12,85.84,0.95
MuPlusLambda,114.0,249.0,0.71,0.29000000000000004,0.97,0.87,0.0,0.94,0.93,100,122,110,12,0,0,187,0.0,222,,,,,,,,,,
SimulatedAnnealing,49.0,,,,0.88,,,,,100,122,110,12,0,0,187,4.0,377,,,,,,0.44,,0.04,71.51,0.83
ParticleSwarm,18.0,,,,0.22,,,,,100,122,110,12,0,0,187,0.0,277,5.3,1.31,-0.98,0.98,0.29,,,,,
StochasticHillClimb,1.0,,,,0.15,,,,,100,122,110,12,0,0,187,0.0,229,,,,,,1.63,,0.81,,
SimulatedAnnealing,27.0,,,,0.38,,,,,100,122,110,12,0,0,187,0.0,324,,,,,,1.73,,0.43,161.21,0.86
MuPlusLambda,187.0,189.0,0.28,0.72,0.97,0.46,0.0,1.51,0.64,100,122,110,12,0,0,187,0.0,204,,,,,,,,,,
MuPlusLambda,255.0,163.0,0.09,0.91,0.6,0.15,0.0,0.76,0.99,100,122,110,12,0,0,187,0.0,203,,,,,,,,,,
StochasticHillClimb,27.0,,,,0.94,,,,,100,122,110,12,0,0,187,5.0,408,,,,,,0.47,,0.13,,
MuPlusLambda,14.0,279.0,0.33,0.6699999999999999,0.41,0.81,0.0,1.3,0.42,100,122,110,12,0,0,187,0.0,209,,,,,,,,,,
PlantPropagation,206.0,80.0,,,0.72,,,,,100,122,110,12,0,0,187,0.0,277,,,,,,0.19,0.91,,,
StochasticHillClimb,39.0,,,,0.3,,,,,100,122,110,12,0,0,187,0.0,243,,,,,,0.98,,0.56,,
SimulatedAnnealing,17.0,,,,0.62,,,,,100,122,110,12,0,0,187,0.0,336,,,,,,0.77,,0.27,186.84,0.89
SimulatedAnnealing,43.0,,,,0.98,,,,,100,122,110,12,0,0,187,1.0,358,,,,,,0.34,,0.37,131.9,0.84
MuPlusLambda,17.0,272.0,0.69,0.31000000000000005,0.45,0.25,0.0,0.49,0.64,100,122,110,12,0,0,187,48.0,253,,,,,,,,,,
SimulatedAnnealing,34.0,,,,0.41,,,,,100,122,110,12,0,0,187,0.0,359,,,,,,1.85,,0.52,57.37,0.87
PlantPropagation,93.0,275.0,,,0.57,,,,,100,122,110,12,0,0,187,0.0,267,,,,,,0.84,0.63,,,
PlantPropagation,97.0,81.0,,,0.85,,,,,100,122,110,12,0,0,187,0.0,259,,,,,,1.33,0.92,,,
ParticleSwarm,154.0,,,,0.9,,,,,100,122,110,12,0,0,187,0.0,158,4.66,9.45,-1.15,1.15,0.73,,,,,
ParticleSwarm,167.0,,,,0.69,,,,,100,122,110,12,0,0,187,0.0,187,1.73,8.36,-1.58,1.58,0.93,,,,,
StochasticHillClimb,13.0,,,,0.22,,,,,100,122,110,12,0,0,187,0.0,278,,,,,,1.69,,0.47,,
StochasticHillClimb,14.0,,,,0.94,,,,,100,122,110,12,0,0,187,0.0,196,,,,,,1.72,,0.51,,
SimulatedAnnealing,4.0,,,,0.74,,,,,100,122,110,12,0,0,187,40.0,363,,,,,,0.39,,0.3,127.21,0.91
StochasticHillClimb,30.0,,,,0.44,,,,,100,122,110,12,0,0,187,0.0,264,,,,,,1.9,,0.91,,
SimulatedAnnealing,3.0,,,,0.61,,,,,100,122,110,12,0,0,187,0.0,355,,,,,,0.54,,0.54,97.2,0.99
SimulatedAnnealing,38.0,,,,0.82,,,,,100,122,110,12,0,0,187,0.0,291,,,,,,0.86,,0.07,11.59,0.99
SimulatedAnnealing,32.0,,,,0.33,,,,,100,122,110,12,0,0,187,0.0,341,,,,,,1.36,,0.41,63.54,0.95
SimulatedAnnealing,14.0,,,,0.63,,,,,100,122,110,12,0,0,187,0.0,327,,,,,,0.68,,0.62,52.73,0.86
PlantPropagation,94.0,252.0,,,0.61,,,,,100,122,110,12,0,0,187,0.0,303,,,,,,0.64,0.61,,,
SimulatedAnnealing,41.0,,,,0.25,,,,,100,122,110,12,0,0,187,0.0,460,,,,,,1.79,,0.9,190.07,0.88
MuPlusLambda,130.0,291.0,0.67,0.32999999999999996,0.77,0.25,0.0,1.92,0.14,100,122,110,12,0,0,187,0.0,223,,,,,,,,,,
MuPlusLambda,127.0,24.0,0.35,0.65,0.61,0.65,0.0,1.39,0.11,100,122,110,12,0,0,187,0.0,209,,,,,,,,,,
PlantPropagation,109.0,260.0,,,0.46,,,,,100,122,110,12,0,0,187,0.0,345,,,,,,0.96,0.3,,,
ParticleSwarm,140.0,,,,0.54,,,,,100,122,110,12,0,0,187,0.0,390,8.44,2.18,-0.31,0.31,0.33,,,,,
SimulatedAnnealing,20.0,,,,0.5,,,,,100,122,110,12,0,0,187,0.0,357,,,,,,1.65,,0.31,77.12,0.81
StochasticHillClimb,24.0,,,,0.61,,,,,100,122,110,12,0,0,187,0.0,235,,,,,,0.86,,0.17,,
SimulatedAnnealing,24.0,,,,0.42,,,,,100,122,110,12,0,0,187,0.0,348,,,,,,0.4,,0.8,63.46,0.94
StochasticHillClimb,16.0,,,,0.21,,,,,100,122,110,12,0,0,187,10.0,394,,,,,,0.38,,0.52,,
StochasticHillClimb,34.0,,,,0.51,,,,,100,122,110,12,0,0,187,0.0,276,,,,,,1.2,,0.3,,
ParticleSwarm,195.0,,,,0.54,,,,,100,122,110,12,0,0,187,0.0,237,9.67,9.43,-1.4,1.4,0.22,,,,,
ParticleSwarm,99.0,,,,0.22,,,,,100,122,110,12,0,0,187,0.0,377,6.99,2.96,-0.42,0.42,0.78,,,,,
PlantPropagation,71.0,64.0,,,0.88,,,,,100,122,110,12,0,0,187,0.0,261,,,,,,1.29,0.68,,,
SimulatedAnnealing,8.0,,,,0.37,,,,,100,122,110,12,0,0,187,0.0,390,,,,,,1.09,,0.74,188.42,0.8
ParticleSwarm,116.0,,,,0.05,,,,,100,122,110,12,0,0,187,4.0,318,5.27,2.6,-0.21,0.21,0.52,,,,,
StochasticHillClimb,4.0,,,,0.94,,,,,100,122,110,12,0,0,187,0.0,215,,,,,,0.62,,0.73,,
StochasticHillClimb,42.0,,,,0.17,,,,,100,122,110,12,0,0,187,0.0,317,,,,,,1.12,,0.87,,
StochasticHillClimb,42.0,,,,0.82,,,,,100,122,110,12,0,0,187,0.0,244,,,,,,1.13,,0.14,,
PlantPropagation,108.0,87.0,,,0.27,,,,,100,122,110,12,0,0,187,16.0,238,,,,,,1.45,0.01,,,
ParticleSwarm,32.0,,,,0.59,,,,,100,122,110,12,0,0,187,0.0,263,7.79,9.82,-1.75,1.75,0.15,,,,,
PlantPropagation,139.0,180.0,,,0.44,,,,,100,122,110,12,0,0,187,6.0,271,,,,,,1.89,0.62,,,
StochasticHillClimb,23.0,,,,0.49,,,,,100,122,110,12,0,0,187,0.0,345,,,,,,0.35,,0.18,,
ParticleSwarm,112.0,,,,0.27,,,,,100,122,110,12,0,0,187,0.0,375,9.63,5.29,-0.3,0.3,0.84,,,,,
StochasticHillClimb,35.0,,,,0.07,,,,,100,122,110,12,0,0,187,0.0,263,,,,,,0.74,,0.83,,
StochasticHillClimb,8.0,,,,0.55,,,,,100,122,110,12,0,0,187,0.0,220,,,,,,0.84,,0.26,,
PlantPropagation,219.0,222.0,,,0.64,,,,,100,122,110,12,0,0,187,11.0,294,,,,,,0.36,0.67,,,
SimulatedAnnealing,25.0,,,,0.97,,,,,100,122,110,12,0,0,187,0.0,309,,,,,,0.94,,0.2,155.0,0.9
MuPlusLambda,75.0,143.0,0.43,0.5700000000000001,0.27,0.07,0.0,0.83,0.57,100,122,110,12,0,0,187,0.0,212,,,,,,,,,,
MuPlusLambda,227.0,219.0,0.16,0.84,0.37,0.25,0.0,1.52,0.04,100,122,110,12,0,0,187,0.0,225,,,,,,,,,,
StochasticHillClimb,26.0,,,,0.77,,,,,100,122,110,12,0,0,187,1.0,452,,,,,,0.37,,0.45,,
ParticleSwarm,242.0,,,,0.22,,,,,100,122,110,12,0,0,187,0.0,312,3.09,9.91,-0.28,0.28,0.22,,,,,
PlantPropagation,177.0,167.0,,,0.91,,,,,100,122,110,12,0,0,187,0.0,275,,,,,,1.75,0.68,,,
PlantPropagation,283.0,131.0,,,0.89,,,,,100,122,110,12,0,0,187,1.0,295,,,,,,0.14,0.46,,,
ParticleSwarm,251.0,,,,0.31,,,,,100,122,110,12,0,0,187,0.0,410,4.99,4.6,-0.26,0.26,0.89,,,,,
PlantPropagation,111.0,66.0,,,0.87,,,,,100,122,110,12,0,0,187,0.0,293,,,,,,1.01,0.27,,,
MuPlusLambda,216.0,119.0,0.74,0.26,0.68,0.24,0.0,1.42,0.25,100,122,110,12,0,0,187,0.0,195,,,,,,,,,,
PlantPropagation,43.0,243.0,,,0.01,,,,,100,122,110,12,0,0,187,131.0,239,,,,,,1.75,0.45,,,
MuPlusLambda,296.0,107.0,0.13,0.87,0.87,0.49,0.0,1.09,0.17,100,122,110,12,0,0,187,0.0,201,,,,,,,,,,
SimulatedAnnealing,46.0,,,,0.07,,,,,100,122,110,12,0,0,187,0.0,482,,,,,,1.0,,0.64,17.17,0.98
ParticleSwarm,294.0,,,,0.13,,,,,100,122,110,12,0,0,187,0.0,236,6.29,0.73,-0.98,0.98,0.16,,,,,
StochasticHillClimb,18.0,,,,0.37,,,,,100,122,110,12,0,0,187,0.0,323,,,,,,0.42,,0.15,,
PlantPropagation,147.0,250.0,,,0.33,,,,,100,122,110,12,0,0,187,2.0,334,,,,,,1.04,0.59,,,
MuPlusLambda,217.0,209.0,0.87,0.13,0.86,0.84,0.0,0.38,0.95,100,122,110,12,0,0,187,0.0,202,,,,,,,,,,
ParticleSwarm,153.0,,,,0.18,,,,,100,122,110,12,0,0,187,0.0,172,8.74,6.21,-0.68,0.68,0.88,,,,,
StochasticHillClimb,7.0,,,,0.87,,,,,100,122,110,12,0,0,187,0.0,230,,,,,,1.79,,0.58,,
ParticleSwarm,56.0,,,,0.21,,,,,100,122,110,12,0,0,187,0.0,300,8.78,3.77,-1.49,1.49,0.32,,,,,
PlantPropagation,15.0,211.0,,,0.78,,,,,100,122,110,12,0,0,187,0.0,315,,,,,,1.63,0.03,,,
SimulatedAnnealing,16.0,,,,0.58,,,,,100,122,110,12,0,0,187,0.0,310,,,,,,1.88,,0.25,41.87,0.84
SimulatedAnnealing,44.0,,,,0.76,,,,,100,122,110,12,0,0,187,0.0,326,,,,,,1.71,,0.97,199.46,0.94
ParticleSwarm,269.0,,,,0.77,,,,,100,122,110,12,0,0,187,0.0,221,3.18,2.98,-0.77,0.77,0.4,,,,,
PlantPropagation,89.0,241.0,,,0.77,,,,,100,122,110,12,0,0,187,0.0,294,,,,,,1.93,0.33,,,
ParticleSwarm,36.0,,,,0.28,,,,,100,122,110,12,0,0,187,0.0,179,8.67,8.65,-1.11,1.11,0.98,,,,,
ParticleSwarm,166.0,,,,0.9,,,,,100,122,110,12,0,0,187,0.0,147,9.18,6.16,-1.89,1.89,0.29,,,,,
ParticleSwarm,74.0,,,,0.17,,,,,100,122,110,12,0,0,187,2.0,380,3.21,0.94,-0.32,0.32,0.96,,,,,
PlantPropagation,78.0,267.0,,,0.96,,,,,100,122,110,12,0,0,187,0.0,275,,,,,,1.43,0.09,,,
SimulatedAnnealing,9.0,,,,0.84,,,,,100,122,110,12,0,0,187,0.0,374,,,,,,1.72,,0.92,36.46,0.86
PlantPropagation,237.0,123.0,,,0.39,,,,,100,122,110,12,0,0,187,0.0,249,,,,,,1.03,0.84,,,
PlantPropagation,200.0,284.0,,,0.85,,,,,100,122,110,12,0,0,187,1.0,283,,,,,,0.33,0.66,,,
MuPlusLambda,298.0,89.0,0.37,0.63,0.43,0.54,0.0,0.88,0.03,100,122,110,12,0,0,187,0.0,263,,,,,,,,,,
MuPlusLambda,178.0,171.0,0.03,0.97,0.03,0.47,0.0,0.9,0.12,100,122,110,12,0,0,187,19.0,215,,,,,,,,,,
MuPlusLambda,46.0,238.0,0.86,0.14,0.65,0.99,0.0,1.94,0.76,100,122,110,12,0,0,187,0.0,229,,,,,,,,,,
SimulatedAnnealing,29.0,,,,0.26,,,,,100,122,110,12,0,0,187,0.0,425,,,,,,1.99,,0.39,41.9,0.83
ParticleSwarm,95.0,,,,0.53,,,,,100,122,110,12,0,0,187,0.0,246,1.89,3.47,-0.56,0.56,0.17,,,,,
ParticleSwarm,226.0,,,,0.45,,,,,100,122,110,12,0,0,187,1.0,356,5.16,6.19,-0.3,0.3,0.95,,,,,
SimulatedAnnealing,42.0,,,,0.56,,,,,100,122,110,12,0,0,187,0.0,296,,,,,,0.44,,0.81,127.94,0.92
MuPlusLambda,203.0,122.0,0.14,0.86,0.31,1.0,0.0,1.46,0.42,100,122,110,12,0,0,187,0.0,289,,,,,,,,,,
PlantPropagation,245.0,209.0,,,0.4,,,,,100,122,110,12,0,0,187,2.0,318,,,,,,1.19,0.67,,,
StochasticHillClimb,40.0,,,,0.89,,,,,100,122,110,12,0,0,187,0.0,237,,,,,,1.75,,0.34,,
StochasticHillClimb,31.0,,,,0.53,,,,,100,122,110,12,0,0,187,0.0,358,,,,,,0.26,,0.05,,
SimulatedAnnealing,46.0,,,,0.41,,,,,100,122,110,12,0,0,187,0.0,300,,,,,,0.81,,0.06,33.1,0.98
MuPlusLambda,99.0,192.0,0.09,0.91,0.44,0.44,0.0,0.47,0.22,100,122,110,12,0,0,187,0.0,204,,,,,,,,,,
PlantPropagation,193.0,12.0,,,0.96,,,,,100,122,110,12,0,0,187,0.0,249,,,,,,1.71,0.87,,,
StochasticHillClimb,48.0,,,,0.53,,,,,100,122,110,12,0,0,187,0.0,249,,,,,,1.23,,0.06,,
PlantPropagation,235.0,25.0,,,0.08,,,,,100,122,110,12,0,0,187,18.0,308,,,,,,0.3,0.19,,,
SimulatedAnnealing,3.0,,,,0.85,,,,,100,122,110,12,0,0,187,0.0,344,,,,,,1.82,,0.8,98.76,0.84
SimulatedAnnealing,15.0,,,,0.06,,,,,100,122,110,12,0,0,187,0.0,509,,,,,,1.53,,0.54,103.85,0.98
MuPlusLambda,222.0,233.0,0.23,0.77,0.48,0.9,0.0,1.59,0.2,100,122,110,12,0,0,187,0.0,220,,,,,,,,,,
MuPlusLambda,212.0,46.0,0.16,0.84,0.97,0.6,0.0,0.22,0.14,100,122,110,12,0,0,187,0.0,234,,,,,,,,,,
ParticleSwarm,290.0,,,,0.83,,,,,100,122,110,12,0,0,187,0.0,167,8.73,1.96,-1.51,1.51,0.98,,,,,
SimulatedAnnealing,40.0,,,,0.55,,,,,100,122,110,12,0,0,187,9.0,489,,,,,,0.17,,0.75,101.81,0.88
MuPlusLambda,96.0,30.0,0.66,0.33999999999999997,0.8,0.73,0.0,0.59,0.5,100,122,110,12,0,0,187,0.0,199,,,,,,,,,,
MuPlusLambda,131.0,135.0,0.73,0.27,0.36,0.9,0.0,1.01,0.34,100,122,110,12,0,0,187,0.0,215,,,,,,,,,,
StochasticHillClimb,1.0,,,,0.43,,,,,100,122,110,12,0,0,187,0.0,226,,,,,,1.55,,0.49,,
PlantPropagation,110.0,115.0,,,0.69,,,,,100,122,110,12,0,0,187,0.0,252,,,,,,1.16,0.58,,,
PlantPropagation,126.0,27.0,,,0.83,,,,,100,122,110,12,0,0,187,13.0,323,,,,,,0.15,0.93,,,
MuPlusLambda,18.0,124.0,0.35,0.65,0.47,0.16,0.0,1.93,0.29,100,122,110,12,0,0,187,0.0,244,,,,,,,,,,
StochasticHillClimb,28.0,,,,0.8,,,,,100,122,110,12,0,0,187,0.0,222,,,,,,1.64,,0.16,,
StochasticHillClimb,30.0,,,,0.69,,,,,100,122,110,12,0,0,187,0.0,237,,,,,,1.61,,0.7,,
StochasticHillClimb,9.0,,,,0.14,,,,,100,122,110,12,0,0,187,0.0,269,,,,,,0.73,,0.01,,
SimulatedAnnealing,7.0,,,,0.44,,,,,100,122,110,12,0,0,187,0.0,318,,,,,,0.75,,0.69,36.27,0.88
SimulatedAnnealing,2.0,,,,0.46,,,,,100,122,110,12,0,0,187,0.0,342,,,,,,0.82,,0.53,155.96,0.83
SimulatedAnnealing,9.0,,,,0.98,,,,,100,122,110,12,0,0,187,0.0,311,,,,,,1.19,,0.9,116.67,0.97
SimulatedAnnealing,10.0,,,,0.83,,,,,100,122,110,12,0,0,187,0.0,365,,,,,,0.27,,0.87,106.28,0.89
ParticleSwarm,216.0,,,,0.62,,,,,100,122,110,12,0,0,187,0.0,243,2.67,5.85,-1.34,1.34,0.14,,,,,
StochasticHillClimb,49.0,,,,0.42,,,,,100,122,110,12,0,0,187,0.0,307,,,,,,1.86,,0.4,,
SimulatedAnnealing,2.0,,,,0.27,,,,,100,122,110,12,0,0,187,82.0,369,,,,,,0.16,,0.51,173.89,0.91
MuPlusLambda,163.0,265.0,0.83,0.17000000000000004,0.63,0.53,0.0,1.13,0.54,100,122,110,12,0,0,187,0.0,200,,,,,,,,,,
PlantPropagation,67.0,258.0,,,0.98,,,,,100,122,110,12,0,0,187,0.0,271,,,,,,0.87,0.12,,,
SimulatedAnnealing,8.0,,,,0.27,,,,,100,122,110,12,0,0,187,0.0,438,,,,,,1.87,,0.68,13.29,0.92
SimulatedAnnealing,50.0,,,,0.7,,,,,100,122,110,12,0,0,187,0.0,272,,,,,,1.85,,0.12,42.77,0.86
SimulatedAnnealing,23.0,,,,0.21,,,,,100,122,110,12,0,0,187,0.0,435,,,,,,1.83,,0.49,95.66,0.82
PlantPropagation,259.0,145.0,,,0.96,,,,,100,122,110,12,0,0,187,0.0,259,,,,,,1.58,0.57,,,
StochasticHillClimb,29.0,,,,0.08,,,,,100,122,110,12,0,0,187,0.0,288,,,,,,0.81,,0.98,,
ParticleSwarm,61.0,,,,0.56,,,,,100,122,110,12,0,0,187,0.0,174,0.54,8.77,-1.64,1.64,0.34,,,,,
MuPlusLambda,199.0,208.0,0.99,0.010000000000000009,0.66,0.92,0.0,0.17,0.79,100,122,110,12,0,0,187,0.0,225,,,,,,,,,,
SimulatedAnnealing,44.0,,,,0.57,,,,,100,122,110,12,0,0,187,0.0,335,,,,,,1.82,,0.69,157.09,0.91
SimulatedAnnealing,23.0,,,,0.86,,,,,100,122,110,12,0,0,187,0.0,318,,,,,,1.65,,0.73,70.16,0.96
MuPlusLambda,220.0,265.0,0.03,0.97,0.79,0.88,0.0,0.24,0.52,100,122,110,12,0,0,187,0.0,229,,,,,,,,,,
StochasticHillClimb,12.0,,,,0.51,,,,,100,122,110,12,0,0,187,0.0,256,,,,,,1.9,,0.77,,
MuPlusLambda,272.0,88.0,0.98,0.020000000000000018,0.6,0.08,0.0,1.26,0.82,100,122,110,12,0,0,187,0.0,215,,,,,,,,,,
