algorithm,mu,lambda_,mut_std,mut_indpb,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,mut_prob,temp,alpha,phi1,phi2,smin,smax,weight,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb
SimulatedAnnealing,1.0,,1.0,,1.0,250,279,278,1,0,32953.0,303,3717.0,1381,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,250,279,278,1,0,32953.0,303,22154.0,335,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,189,309,301,8,0,176.0,282,0.0,445,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,189,309,301,8,0,176.0,282,0.0,334,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,189,309,301,8,0,176.0,282,0.0,492,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,189,309,301,8,0,176.0,282,9.0,232,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,189,309,301,8,0,176.0,282,0.0,428,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,189,309,301,8,0,176.0,282,0.0,510,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,189,309,301,8,0,176.0,282,0.0,361,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,189,309,301,8,0,176.0,282,0.0,387,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,189,309,301,8,0,176.0,282,0.0,551,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,189,309,301,8,0,176.0,282,75.0,236,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,178,281,265,16,0,0.0,228,0.0,473,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,178,281,265,16,0,0.0,228,0.0,341,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,178,281,265,16,0,0.0,228,0.0,289,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,178,281,265,16,0,0.0,228,0.0,235,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,178,281,265,16,0,0.0,228,0.0,318,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,178,281,265,16,0,0.0,228,96.0,193,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,178,281,265,16,0,0.0,228,0.0,302,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,178,281,265,16,0,0.0,228,0.0,241,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,178,281,265,16,0,0.0,228,31.0,194,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,178,281,265,16,0,0.0,228,0.0,378,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,97,155,144,11,0,0.0,292,0.0,250,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,97,155,144,11,0,0.0,292,0.0,195,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,97,155,144,11,0,0.0,292,0.0,396,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,97,155,144,11,0,0.0,292,0.0,307,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,97,155,144,11,0,0.0,292,0.0,298,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,97,155,144,11,0,0.0,292,0.0,180,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,97,155,144,11,0,0.0,292,0.0,447,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,97,155,144,11,0,0.0,292,0.0,187,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,97,155,144,11,0,0.0,292,0.0,178,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,97,155,144,11,0,0.0,292,0.0,324,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,179,303,285,18,0,0.0,534,0.0,599,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,179,303,285,18,0,0.0,534,0.0,581,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,179,303,285,18,0,0.0,534,0.0,498,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,179,303,285,18,0,0.0,534,0.0,482,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,179,303,285,18,0,0.0,534,0.0,569,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,179,303,285,18,0,0.0,534,0.0,677,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,179,303,285,18,0,0.0,534,0.0,698,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,179,303,285,18,0,0.0,534,8.0,405,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,179,303,285,18,0,0.0,534,0.0,825,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,179,303,285,18,0,0.0,534,15.0,428,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,114,193,184,9,0,0.0,196,0.0,266,0.4,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,114,193,184,9,0,0.0,196,0.0,332,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,114,193,184,9,0,0.0,196,0.0,326,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,114,193,184,9,0,0.0,196,2.0,156,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,114,193,184,9,0,0.0,196,0.0,286,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,114,193,184,9,0,0.0,196,14.0,163,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,114,193,184,9,0,0.0,196,0.0,191,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,114,193,184,9,0,0.0,196,0.0,448,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,114,193,184,9,0,0.0,196,0.0,195,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,114,193,184,9,0,0.0,196,0.0,296,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,291,526,521,5,0,4715.0,373,0.0,543,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,291,526,521,5,0,4715.0,373,0.0,1078,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,291,526,521,5,0,4715.0,373,179.0,625,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,291,526,521,5,0,4715.0,373,424.0,359,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,291,526,521,5,0,4715.0,373,0.0,536,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,291,526,521,5,0,4715.0,373,779.0,379,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,291,526,521,5,0,4715.0,373,0.0,555,0.4,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,291,526,521,5,0,4715.0,373,0.0,708,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,291,526,521,5,0,4715.0,373,0.0,1705,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,291,526,521,5,0,4715.0,373,13.0,639,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,467,525,514,11,0,5237.0,412,0.0,530,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,467,525,514,11,0,5237.0,412,0.0,471,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,467,525,514,11,0,5237.0,412,0.0,917,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,467,525,514,11,0,5237.0,412,0.0,534,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,467,525,514,11,0,5237.0,412,0.0,602,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,467,525,514,11,0,5237.0,412,0.0,485,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,467,525,514,11,0,5237.0,412,453.0,355,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,467,525,514,11,0,5237.0,412,0.0,1039,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,467,525,514,11,0,5237.0,412,507.0,368,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,467,525,514,11,0,5237.0,412,0.0,540,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,31,65,46,19,0,0.0,194,0.0,76,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,31,65,46,19,0,0.0,194,0.0,330,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,31,65,46,19,0,0.0,194,0.0,18,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,31,65,46,19,0,0.0,194,0.0,156,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,31,65,46,19,0,0.0,194,0.0,25,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,31,65,46,19,0,0.0,194,0.0,282,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,31,65,46,19,0,0.0,194,0.0,78,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,31,65,46,19,0,0.0,194,0.0,157,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,31,65,46,19,0,0.0,194,0.0,18,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,31,65,46,19,0,0.0,194,0.0,22,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,32,41,32,9,0,0.0,81,0.0,47,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,32,41,32,9,0,0.0,81,0.0,116,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,32,41,32,9,0,0.0,81,0.0,228,0.1,100.0,0.99,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,32,41,32,9,0,0.0,81,0.0,31,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,32,41,32,9,0,0.0,81,0.0,34,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,32,41,32,9,0,0.0,81,0.0,203,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,32,41,32,9,0,0.0,81,0.0,53,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,32,41,32,9,0,0.0,81,0.0,20,0.4,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,32,41,32,9,0,0.0,81,0.0,21,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,32,41,32,9,0,0.0,81,0.0,118,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,336,379,376,3,0,23135.0,469,0.0,1474,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,336,379,376,3,0,23135.0,469,445.0,744,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,336,379,376,3,0,23135.0,469,416.0,729,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,336,379,376,3,0,23135.0,469,0.0,1975,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,336,379,376,3,0,23135.0,469,1202.0,760,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,336,379,376,3,0,23135.0,469,1675.0,421,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,336,379,376,3,0,23135.0,469,746.0,737,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,336,379,376,3,0,23135.0,469,980.0,729,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,336,379,376,3,0,23135.0,469,1198.0,724,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,336,379,376,3,0,23135.0,469,2447.0,415,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,15,19,16,3,0,0.0,117,0.0,98,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,15,19,16,3,0,0.0,117,0.0,125,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,15,19,16,3,0,0.0,117,0.0,25,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,15,19,16,3,0,0.0,117,0.0,35,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
StochasticHillClimb,1.0,,1.0,,1.0,15,19,16,3,0,0.0,117,0.0,23,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,15,19,16,3,0,0.0,117,0.0,52,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,15,19,16,3,0,0.0,117,0.0,237,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,15,19,16,3,0,0.0,117,0.0,24,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,15,19,16,3,0,0.0,117,0.0,43,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,15,19,16,3,0,0.0,117,0.0,271,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,297,363,344,19,0,398.0,426,0.0,589,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,297,363,344,19,0,398.0,426,0.0,405,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,297,363,344,19,0,398.0,426,0.0,703,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,297,363,344,19,0,398.0,426,0.0,378,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,297,363,344,19,0,398.0,426,0.0,510,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,297,363,344,19,0,398.0,426,0.0,409,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,297,363,344,19,0,398.0,426,0.0,457,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,297,363,344,19,0,398.0,426,79.0,343,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
MuPlusLambda,200.0,200.0,,,0.0,297,363,344,19,0,398.0,426,151.0,346,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,297,363,344,19,0,398.0,426,0.0,598,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,193,220,205,15,0,239.0,707,0.0,779,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,193,220,205,15,0,239.0,707,0.0,697,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,193,220,205,15,0,239.0,707,0.0,889,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,193,220,205,15,0,239.0,707,0.0,889,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,193,220,205,15,0,239.0,707,0.0,672,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,193,220,205,15,0,239.0,707,0.0,689,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,193,220,205,15,0,239.0,707,0.0,809,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,193,220,205,15,0,239.0,707,0.0,757,0.4,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,193,220,205,15,0,239.0,707,0.0,978,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,193,220,205,15,0,239.0,707,0.0,681,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,158,279,276,3,0,2137.0,325,0.0,689,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,158,279,276,3,0,2137.0,325,15.0,267,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,158,279,276,3,0,2137.0,325,0.0,408,,,,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,158,279,276,3,0,2137.0,325,0.0,428,0.1,100.0,0.99,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,158,279,276,3,0,2137.0,325,6.0,257,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
PlantPropagation,200.0,10.0,2.0,0.5,1.0,158,279,276,3,0,2137.0,325,0.0,375,,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,158,279,276,3,0,2137.0,325,0.0,397,0.4,,,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,158,279,276,3,0,2137.0,325,0.0,349,0.4,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,158,279,276,3,0,2137.0,325,0.0,290,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
ParticleSwarm,200.0,,,,1.0,158,279,276,3,0,2137.0,325,0.0,291,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,284,470,460,10,0,1268.0,375,0.0,613,0.4,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,284,470,460,10,0,1268.0,375,70.0,567,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,284,470,460,10,0,1268.0,375,77.0,626,,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,1.0,284,470,460,10,0,1268.0,375,0.0,567,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,284,470,460,10,0,1268.0,375,0.0,687,0.4,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,284,470,460,10,0,1268.0,375,622.0,380,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
ParticleSwarm,200.0,,,,1.0,284,470,460,10,0,1268.0,375,0.0,584,,,,4.0,6.0,-2.0,2.0,1.0,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,284,470,460,10,0,1268.0,375,407.0,385,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,284,470,460,10,0,1268.0,375,0.0,1652,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,284,470,460,10,0,1268.0,375,0.0,1475,0.1,100.0,0.99,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,312,368,349,19,0,65.0,412,0.0,525,,,,,,,,,,,,,,
PlantPropagation,200.0,10.0,2.0,0.5,1.0,312,368,349,19,0,65.0,412,0.0,541,,,,,,,,,,,,,,
MuPlusLambda,200.0,200.0,,,0.0,312,368,349,19,0,65.0,412,148.0,366,,,,,,,,,0.5,0.5,0.5,0.0,2.0,0.5
SimulatedAnnealing,1.0,,1.0,,1.0,312,368,349,19,0,65.0,412,0.0,765,0.1,100.0,0.99,,,,,,,,,,,
SimulatedAnnealing,1.0,,1.0,,1.0,312,368,349,19,0,65.0,412,0.0,870,0.1,100.0,0.99,,,,,,,,,,,
StochasticHillClimb,1.0,,1.0,,1.0,312,368,349,19,0,65.0,412,0.0,531,0.4,,,,,,,,,,,,,
