assignments,relation_constraints,resource_constraints,date_constraints,constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,algorithm,repair_pct,mu
467,514,11,0,525,5237,412,6955,325,FixerOnly,1.0,200
467,514,11,0,525,5237,412,6865,341,FixerOnly,1.0,200
467,514,11,0,525,5237,412,7262,330,FixerOnly,1.0,200
31,46,19,0,65,0,194,0,113,FixerOnly,1.0,200
31,46,19,0,65,0,194,0,104,FixerOnly,1.0,200
31,46,19,0,65,0,194,0,93,FixerOnly,1.0,200
32,32,9,0,41,0,81,0,111,FixerOnly,1.0,200
32,32,9,0,41,0,81,0,118,FixerOnly,1.0,200
32,32,9,0,41,0,81,0,121,FixerOnly,1.0,200
336,376,3,0,379,23135,469,18506,390,FixerOnly,1.0,200
336,376,3,0,379,23135,469,18985,344,FixerOnly,1.0,200
336,376,3,0,379,23135,469,18674,483,FixerOnly,1.0,200
15,16,3,0,19,0,117,0,89,FixerOnly,1.0,200
15,16,3,0,19,0,117,0,92,FixerOnly,1.0,200
15,16,3,0,19,0,117,0,108,FixerOnly,1.0,200
297,344,19,0,363,398,426,2066,323,FixerOnly,1.0,200
297,344,19,0,363,398,426,2113,312,FixerOnly,1.0,200
297,344,19,0,363,398,426,1883,445,FixerOnly,1.0,200
193,205,15,0,220,239,707,409,400,FixerOnly,1.0,200
193,205,15,0,220,239,707,550,476,FixerOnly,1.0,200
193,205,15,0,220,239,707,518,390,FixerOnly,1.0,200
158,276,3,0,279,2137,325,2377,330,FixerOnly,1.0,200
158,276,3,0,279,2137,325,2831,314,FixerOnly,1.0,200
158,276,3,0,279,2137,325,2906,359,FixerOnly,1.0,200
284,460,10,0,470,1268,375,2562,607,FixerOnly,1.0,200
284,460,10,0,470,1268,375,2889,560,FixerOnly,1.0,200
284,460,10,0,470,1268,375,2685,465,FixerOnly,1.0,200
312,349,19,0,368,65,412,1452,364,FixerOnly,1.0,200
312,349,19,0,368,65,412,862,352,FixerOnly,1.0,200
312,349,19,0,368,65,412,1428,346,FixerOnly,1.0,200
217,240,18,0,258,309,314,794,252,FixerOnly,1.0,200
217,240,18,0,258,309,314,797,205,FixerOnly,1.0,200
217,240,18,0,258,309,314,564,237,FixerOnly,1.0,200
265,282,4,0,286,15079,354,12386,379,FixerOnly,1.0,200
265,282,4,0,286,15079,354,11632,382,FixerOnly,1.0,200
265,282,4,0,286,15079,354,10434,317,FixerOnly,1.0,200
432,786,8,0,794,1864,605,5608,436,FixerOnly,1.0,200
432,786,8,0,794,1864,605,5086,547,FixerOnly,1.0,200
432,786,8,0,794,1864,605,6063,585,FixerOnly,1.0,200
98,106,1,0,107,11640,205,7791,249,FixerOnly,1.0,200
98,106,1,0,107,11640,205,7763,287,FixerOnly,1.0,200
98,106,1,0,107,11640,205,8616,237,FixerOnly,1.0,200
309,331,6,0,337,6308,285,6335,265,FixerOnly,1.0,200
309,331,6,0,337,6308,285,7476,270,FixerOnly,1.0,200
309,331,6,0,337,6308,285,7388,280,FixerOnly,1.0,200
423,466,19,0,485,2084,363,3521,521,FixerOnly,1.0,200
423,466,19,0,485,2084,363,3306,325,FixerOnly,1.0,200
423,466,19,0,485,2084,363,3510,306,FixerOnly,1.0,200
387,585,12,0,597,4241,658,3902,524,FixerOnly,1.0,200
387,585,12,0,597,4241,658,4274,393,FixerOnly,1.0,200
387,585,12,0,597,4241,658,4177,450,FixerOnly,1.0,200
85,118,6,0,124,0,215,9,279,FixerOnly,1.0,200
85,118,6,0,124,0,215,117,328,FixerOnly,1.0,200
85,118,6,0,124,0,215,88,339,FixerOnly,1.0,200
460,669,13,0,682,3535,329,6136,284,FixerOnly,1.0,200
460,669,13,0,682,3535,329,5628,352,FixerOnly,1.0,200
460,669,13,0,682,3535,329,5676,342,FixerOnly,1.0,200
477,665,19,0,684,2217,454,3703,351,FixerOnly,1.0,200
477,665,19,0,684,2217,454,3369,387,FixerOnly,1.0,200
477,665,19,0,684,2217,454,3689,442,FixerOnly,1.0,200
72,105,18,0,123,0,333,0,259,FixerOnly,1.0,200
72,105,18,0,123,0,333,0,230,FixerOnly,1.0,200
72,105,18,0,123,0,333,0,222,FixerOnly,1.0,200
41,38,5,0,43,0,130,0,134,FixerOnly,1.0,200
41,38,5,0,43,0,130,0,171,FixerOnly,1.0,200
41,38,5,0,43,0,130,0,138,FixerOnly,1.0,200
476,768,5,0,773,9611,432,15502,448,FixerOnly,1.0,200
476,768,5,0,773,9611,432,14487,473,FixerOnly,1.0,200
476,768,5,0,773,9611,432,16034,466,FixerOnly,1.0,200
100,96,7,0,103,0,330,76,280,FixerOnly,1.0,200
100,96,7,0,103,0,330,319,337,FixerOnly,1.0,200
100,96,7,0,103,0,330,288,292,FixerOnly,1.0,200
53,73,5,0,78,0,311,5,263,FixerOnly,1.0,200
53,73,5,0,78,0,311,32,245,FixerOnly,1.0,200
53,73,5,0,78,0,311,20,230,FixerOnly,1.0,200
489,546,6,0,552,20948,353,17443,271,FixerOnly,1.0,200
489,546,6,0,552,20948,353,17903,327,FixerOnly,1.0,200
489,546,6,0,552,20948,353,16628,320,FixerOnly,1.0,200
447,723,15,0,738,5201,599,5133,1270,FixerOnly,1.0,200
447,723,15,0,738,5201,599,5262,1282,FixerOnly,1.0,200
447,723,15,0,738,5201,599,5066,1354,FixerOnly,1.0,200
59,80,15,0,95,0,185,0,170,FixerOnly,1.0,200
59,80,15,0,95,0,185,0,191,FixerOnly,1.0,200
59,80,15,0,95,0,185,0,191,FixerOnly,1.0,200
299,319,8,0,327,8351,276,6646,248,FixerOnly,1.0,200
299,319,8,0,327,8351,276,6046,270,FixerOnly,1.0,200
299,319,8,0,327,8351,276,6689,281,FixerOnly,1.0,200
457,834,9,0,843,3058,402,6275,396,FixerOnly,1.0,200
457,834,9,0,843,3058,402,6956,434,FixerOnly,1.0,200
457,834,9,0,843,3058,402,5796,437,FixerOnly,1.0,200
345,395,9,0,404,7512,391,6588,330,FixerOnly,1.0,200
345,395,9,0,404,7512,391,6791,261,FixerOnly,1.0,200
345,395,9,0,404,7512,391,6689,303,FixerOnly,1.0,200
401,643,19,0,662,135,364,1520,408,FixerOnly,1.0,200
401,643,19,0,662,135,364,1322,503,FixerOnly,1.0,200
401,643,19,0,662,135,364,1529,432,FixerOnly,1.0,200
297,486,14,0,500,14,501,817,487,FixerOnly,1.0,200
297,486,14,0,500,14,501,977,502,FixerOnly,1.0,200
297,486,14,0,500,14,501,1103,623,FixerOnly,1.0,200
462,685,5,0,690,7781,598,7433,462,FixerOnly,1.0,200
462,685,5,0,690,7781,598,8104,433,FixerOnly,1.0,200
462,685,5,0,690,7781,598,8170,516,FixerOnly,1.0,200
314,522,19,0,541,66,591,1851,498,FixerOnly,1.0,200
314,522,19,0,541,66,591,1279,372,FixerOnly,1.0,200
314,522,19,0,541,66,591,1917,485,FixerOnly,1.0,200
105,113,13,0,126,20,173,127,256,FixerOnly,1.0,200
105,113,13,0,126,20,173,58,224,FixerOnly,1.0,200
105,113,13,0,126,20,173,101,237,FixerOnly,1.0,200
458,648,4,0,652,16170,845,15591,517,FixerOnly,1.0,200
458,648,4,0,652,16170,845,16729,569,FixerOnly,1.0,200
458,648,4,0,652,16170,845,17451,572,FixerOnly,1.0,200
413,625,15,0,640,560,600,3177,387,FixerOnly,1.0,200
413,625,15,0,640,560,600,3640,406,FixerOnly,1.0,200
413,625,15,0,640,560,600,2767,492,FixerOnly,1.0,200
247,258,11,0,269,930,337,1970,242,FixerOnly,1.0,200
247,258,11,0,269,930,337,1810,354,FixerOnly,1.0,200
247,258,11,0,269,930,337,1849,297,FixerOnly,1.0,200
195,214,6,0,220,3551,207,2367,327,FixerOnly,1.0,200
195,214,6,0,220,3551,207,2275,297,FixerOnly,1.0,200
195,214,6,0,220,3551,207,2445,292,FixerOnly,1.0,200
109,117,12,0,129,0,289,81,311,FixerOnly,1.0,200
109,117,12,0,129,0,289,90,298,FixerOnly,1.0,200
109,117,12,0,129,0,289,76,398,FixerOnly,1.0,200
367,664,2,0,666,12547,622,10543,530,FixerOnly,1.0,200
367,664,2,0,666,12547,622,13494,597,FixerOnly,1.0,200
367,664,2,0,666,12547,622,14044,449,FixerOnly,1.0,200
236,329,5,0,334,3148,435,4874,472,FixerOnly,1.0,200
236,329,5,0,334,3148,435,4882,563,FixerOnly,1.0,200
236,329,5,0,334,3148,435,4835,481,FixerOnly,1.0,200
177,286,11,0,297,121,374,1025,315,FixerOnly,1.0,200
177,286,11,0,297,121,374,862,328,FixerOnly,1.0,200
177,286,11,0,297,121,374,995,415,FixerOnly,1.0,200
220,360,13,0,373,0,356,228,402,FixerOnly,1.0,200
220,360,13,0,373,0,356,356,411,FixerOnly,1.0,200
220,360,13,0,373,0,356,307,321,FixerOnly,1.0,200
363,639,10,0,649,771,425,2066,484,FixerOnly,1.0,200
363,639,10,0,649,771,425,2617,412,FixerOnly,1.0,200
363,639,10,0,649,771,425,2219,459,FixerOnly,1.0,200
424,452,12,0,464,6359,378,6832,361,FixerOnly,1.0,200
424,452,12,0,464,6359,378,7093,348,FixerOnly,1.0,200
424,452,12,0,464,6359,378,7329,318,FixerOnly,1.0,200
346,592,15,0,607,0,920,1570,585,FixerOnly,1.0,200
346,592,15,0,607,0,920,2126,481,FixerOnly,1.0,200
346,592,15,0,607,0,920,1694,479,FixerOnly,1.0,200
278,393,2,0,395,14622,500,12374,445,FixerOnly,1.0,200
278,393,2,0,395,14622,500,13205,580,FixerOnly,1.0,200
278,393,2,0,395,14622,500,12747,430,FixerOnly,1.0,200
399,726,9,0,735,1519,390,6408,468,FixerOnly,1.0,200
399,726,9,0,735,1519,390,6652,434,FixerOnly,1.0,200
399,726,9,0,735,1519,390,5741,461,FixerOnly,1.0,200
219,338,1,0,339,23882,558,23564,544,FixerOnly,1.0,200
219,338,1,0,339,23882,558,22833,557,FixerOnly,1.0,200
219,338,1,0,339,23882,558,22649,581,FixerOnly,1.0,200
298,430,2,0,432,15297,372,15142,467,FixerOnly,1.0,200
298,430,2,0,432,15297,372,15459,453,FixerOnly,1.0,200
298,430,2,0,432,15297,372,15425,469,FixerOnly,1.0,200
442,661,5,0,666,11641,460,13758,388,FixerOnly,1.0,200
442,661,5,0,666,11641,460,13294,407,FixerOnly,1.0,200
442,661,5,0,666,11641,460,13503,496,FixerOnly,1.0,200
270,425,6,0,431,2126,291,4498,304,FixerOnly,1.0,200
270,425,6,0,431,2126,291,3352,423,FixerOnly,1.0,200
270,425,6,0,431,2126,291,4172,316,FixerOnly,1.0,200
57,78,10,0,88,0,234,0,184,FixerOnly,1.0,200
57,78,10,0,88,0,234,0,209,FixerOnly,1.0,200
57,78,10,0,88,0,234,0,222,FixerOnly,1.0,200
251,275,12,0,287,1743,201,2661,276,FixerOnly,1.0,200
251,275,12,0,287,1743,201,2999,290,FixerOnly,1.0,200
251,275,12,0,287,1743,201,2681,236,FixerOnly,1.0,200
316,338,18,0,356,649,433,1568,413,FixerOnly,1.0,200
316,338,18,0,356,649,433,1574,292,FixerOnly,1.0,200
316,338,18,0,356,649,433,1671,301,FixerOnly,1.0,200
354,410,18,0,428,1072,252,2106,276,FixerOnly,1.0,200
354,410,18,0,428,1072,252,2512,295,FixerOnly,1.0,200
354,410,18,0,428,1072,252,2219,266,FixerOnly,1.0,200
497,735,16,0,751,467,525,4381,424,FixerOnly,1.0,200
497,735,16,0,751,467,525,4182,402,FixerOnly,1.0,200
497,735,16,0,751,467,525,4142,453,FixerOnly,1.0,200
50,66,9,0,75,0,190,0,182,FixerOnly,1.0,200
50,66,9,0,75,0,190,0,170,FixerOnly,1.0,200
50,66,9,0,75,0,190,0,167,FixerOnly,1.0,200
358,567,14,0,581,222,472,2631,475,FixerOnly,1.0,200
358,567,14,0,581,222,472,2164,588,FixerOnly,1.0,200
358,567,14,0,581,222,472,2848,470,FixerOnly,1.0,200
167,219,14,0,233,0,305,88,386,FixerOnly,1.0,200
167,219,14,0,233,0,305,181,480,FixerOnly,1.0,200
167,219,14,0,233,0,305,108,328,FixerOnly,1.0,200
342,536,14,0,550,149,382,1293,401,FixerOnly,1.0,200
342,536,14,0,550,149,382,1601,407,FixerOnly,1.0,200
342,536,14,0,550,149,382,1655,347,FixerOnly,1.0,200
485,720,5,0,725,17665,587,17341,519,FixerOnly,1.0,200
485,720,5,0,725,17665,587,17773,565,FixerOnly,1.0,200
485,720,5,0,725,17665,587,16546,666,FixerOnly,1.0,200
439,474,13,0,487,7892,452,9977,346,FixerOnly,1.0,200
439,474,13,0,487,7892,452,9239,449,FixerOnly,1.0,200
439,474,13,0,487,7892,452,9761,442,FixerOnly,1.0,200
189,204,18,0,222,0,369,558,302,FixerOnly,1.0,200
189,204,18,0,222,0,369,337,356,FixerOnly,1.0,200
189,204,18,0,222,0,369,502,239,FixerOnly,1.0,200
229,237,4,0,241,8143,223,5459,269,FixerOnly,1.0,200
229,237,4,0,241,8143,223,5920,257,FixerOnly,1.0,200
229,237,4,0,241,8143,223,5637,369,FixerOnly,1.0,200
462,826,18,0,844,102,547,2443,485,FixerOnly,1.0,200
462,826,18,0,844,102,547,2264,631,FixerOnly,1.0,200
462,826,18,0,844,102,547,1912,551,FixerOnly,1.0,200
298,435,7,0,442,984,440,1953,474,FixerOnly,1.0,200
298,435,7,0,442,984,440,2336,454,FixerOnly,1.0,200
298,435,7,0,442,984,440,2375,392,FixerOnly,1.0,200
260,283,4,0,287,11366,429,7047,268,FixerOnly,1.0,200
260,283,4,0,287,11366,429,7027,359,FixerOnly,1.0,200
260,283,4,0,287,11366,429,7354,353,FixerOnly,1.0,200
312,561,8,0,569,992,481,2511,490,FixerOnly,1.0,200
312,561,8,0,569,992,481,2855,430,FixerOnly,1.0,200
312,561,8,0,569,992,481,2101,655,FixerOnly,1.0,200
128,185,12,0,197,0,392,106,321,FixerOnly,1.0,200
128,185,12,0,197,0,392,133,345,FixerOnly,1.0,200
128,185,12,0,197,0,392,90,442,FixerOnly,1.0,200
273,440,17,0,457,64,532,980,482,FixerOnly,1.0,200
273,440,17,0,457,64,532,1014,509,FixerOnly,1.0,200
273,440,17,0,457,64,532,602,469,FixerOnly,1.0,200
205,325,19,0,344,7,475,273,357,FixerOnly,1.0,200
205,325,19,0,344,7,475,119,378,FixerOnly,1.0,200
205,325,19,0,344,7,475,78,401,FixerOnly,1.0,200
202,266,11,0,277,0,557,418,331,FixerOnly,1.0,200
202,266,11,0,277,0,557,453,373,FixerOnly,1.0,200
202,266,11,0,277,0,557,538,345,FixerOnly,1.0,200
294,316,14,0,330,3766,331,3933,273,FixerOnly,1.0,200
294,316,14,0,330,3766,331,3800,315,FixerOnly,1.0,200
294,316,14,0,330,3766,331,4024,311,FixerOnly,1.0,200
117,110,15,0,125,0,194,74,303,FixerOnly,1.0,200
117,110,15,0,125,0,194,11,217,FixerOnly,1.0,200
117,110,15,0,125,0,194,32,226,FixerOnly,1.0,200
445,789,10,0,799,2822,662,4224,552,FixerOnly,1.0,200
445,789,10,0,799,2822,662,5128,590,FixerOnly,1.0,200
445,789,10,0,799,2822,662,5552,554,FixerOnly,1.0,200
154,210,15,0,225,0,603,33,525,FixerOnly,1.0,200
154,210,15,0,225,0,603,48,402,FixerOnly,1.0,200
154,210,15,0,225,0,603,128,389,FixerOnly,1.0,200
367,560,10,0,570,613,474,2498,495,FixerOnly,1.0,200
367,560,10,0,570,613,474,2706,430,FixerOnly,1.0,200
367,560,10,0,570,613,474,3152,402,FixerOnly,1.0,200
481,848,1,0,849,55158,469,48240,549,FixerOnly,1.0,200
481,848,1,0,849,55158,469,45211,564,FixerOnly,1.0,200
481,848,1,0,849,55158,469,47451,485,FixerOnly,1.0,200
254,293,7,0,300,3973,375,4221,395,FixerOnly,1.0,200
254,293,7,0,300,3973,375,3979,386,FixerOnly,1.0,200
254,293,7,0,300,3973,375,4374,357,FixerOnly,1.0,200
201,225,2,0,227,14577,347,7464,431,FixerOnly,1.0,200
201,225,2,0,227,14577,347,8157,317,FixerOnly,1.0,200
201,225,2,0,227,14577,347,8844,324,FixerOnly,1.0,200
438,468,9,0,477,10664,423,12042,307,FixerOnly,1.0,200
438,468,9,0,477,10664,423,12030,331,FixerOnly,1.0,200
438,468,9,0,477,10664,423,12598,343,FixerOnly,1.0,200
351,507,11,0,518,617,522,2270,449,FixerOnly,1.0,200
351,507,11,0,518,617,522,2144,586,FixerOnly,1.0,200
351,507,11,0,518,617,522,2500,435,FixerOnly,1.0,200
98,149,8,0,157,24,289,257,321,FixerOnly,1.0,200
98,149,8,0,157,24,289,317,267,FixerOnly,1.0,200
98,149,8,0,157,24,289,365,303,FixerOnly,1.0,200
436,821,7,0,828,6197,447,9483,464,FixerOnly,1.0,200
436,821,7,0,828,6197,447,9636,375,FixerOnly,1.0,200
436,821,7,0,828,6197,447,9543,463,FixerOnly,1.0,200
119,156,2,0,158,4592,351,3756,446,FixerOnly,1.0,200
119,156,2,0,158,4592,351,3768,446,FixerOnly,1.0,200
119,156,2,0,158,4592,351,3343,501,FixerOnly,1.0,200
93,122,1,0,123,2702,331,2931,269,FixerOnly,1.0,200
93,122,1,0,123,2702,331,2768,357,FixerOnly,1.0,200
93,122,1,0,123,2702,331,2949,318,FixerOnly,1.0,200
188,340,12,0,352,0,356,746,320,FixerOnly,1.0,200
188,340,12,0,352,0,356,683,346,FixerOnly,1.0,200
188,340,12,0,352,0,356,708,331,FixerOnly,1.0,200
80,130,10,0,140,0,193,24,255,FixerOnly,1.0,200
80,130,10,0,140,0,193,0,346,FixerOnly,1.0,200
80,130,10,0,140,0,193,31,295,FixerOnly,1.0,200
97,114,4,0,118,2267,292,1295,269,FixerOnly,1.0,200
97,114,4,0,118,2267,292,1575,280,FixerOnly,1.0,200
97,114,4,0,118,2267,292,1556,299,FixerOnly,1.0,200
227,408,19,0,427,205,670,615,411,FixerOnly,1.0,200
227,408,19,0,427,205,670,434,315,FixerOnly,1.0,200
227,408,19,0,427,205,670,692,421,FixerOnly,1.0,200
181,323,2,0,325,1773,395,5107,343,FixerOnly,1.0,200
181,323,2,0,325,1773,395,4367,439,FixerOnly,1.0,200
181,323,2,0,325,1773,395,4555,420,FixerOnly,1.0,200
415,687,11,0,698,979,660,4092,424,FixerOnly,1.0,200
415,687,11,0,698,979,660,3842,530,FixerOnly,1.0,200
415,687,11,0,698,979,660,3862,506,FixerOnly,1.0,200
363,400,17,0,417,1837,659,5120,452,FixerOnly,1.0,200
363,400,17,0,417,1837,659,5903,351,FixerOnly,1.0,200
363,400,17,0,417,1837,659,6249,371,FixerOnly,1.0,200
50,55,18,0,73,0,215,0,134,FixerOnly,1.0,200
50,55,18,0,73,0,215,0,148,FixerOnly,1.0,200
50,55,18,0,73,0,215,0,157,FixerOnly,1.0,200
109,193,11,0,204,0,343,5,324,FixerOnly,1.0,200
109,193,11,0,204,0,343,21,277,FixerOnly,1.0,200
109,193,11,0,204,0,343,2,285,FixerOnly,1.0,200
124,173,17,0,190,0,342,12,402,FixerOnly,1.0,200
124,173,17,0,190,0,342,15,414,FixerOnly,1.0,200
124,173,17,0,190,0,342,22,451,FixerOnly,1.0,200
298,504,4,0,508,1939,392,5310,453,FixerOnly,1.0,200
298,504,4,0,508,1939,392,5650,400,FixerOnly,1.0,200
298,504,4,0,508,1939,392,5137,406,FixerOnly,1.0,200
190,191,19,0,210,683,266,709,227,FixerOnly,1.0,200
190,191,19,0,210,683,266,557,250,FixerOnly,1.0,200
190,191,19,0,210,683,266,883,264,FixerOnly,1.0,200
33,43,5,0,48,0,167,0,177,FixerOnly,1.0,200
33,43,5,0,48,0,167,0,137,FixerOnly,1.0,200
33,43,5,0,48,0,167,0,151,FixerOnly,1.0,200
248,349,2,0,351,18672,318,13187,448,FixerOnly,1.0,200
248,349,2,0,351,18672,318,12938,502,FixerOnly,1.0,200
248,349,2,0,351,18672,318,13807,464,FixerOnly,1.0,200
199,323,14,0,337,1709,412,1421,374,FixerOnly,1.0,200
199,323,14,0,337,1709,412,1294,523,FixerOnly,1.0,200
199,323,14,0,337,1709,412,1115,322,FixerOnly,1.0,200
148,272,5,0,277,0,378,1264,344,FixerOnly,1.0,200
148,272,5,0,277,0,378,1064,410,FixerOnly,1.0,200
148,272,5,0,277,0,378,1193,331,FixerOnly,1.0,200
74,75,6,0,81,0,213,80,218,FixerOnly,1.0,200
74,75,6,0,81,0,213,67,342,FixerOnly,1.0,200
74,75,6,0,81,0,213,13,242,FixerOnly,1.0,200
81,109,5,0,114,547,197,369,269,FixerOnly,1.0,200
81,109,5,0,114,547,197,379,261,FixerOnly,1.0,200
81,109,5,0,114,547,197,318,205,FixerOnly,1.0,200
394,640,1,0,641,56816,386,48614,619,FixerOnly,1.0,200
394,640,1,0,641,56816,386,49702,448,FixerOnly,1.0,200
394,640,1,0,641,56816,386,50230,457,FixerOnly,1.0,200
29,33,16,0,49,0,191,0,85,FixerOnly,1.0,200
29,33,16,0,49,0,191,0,91,FixerOnly,1.0,200
29,33,16,0,49,0,191,0,103,FixerOnly,1.0,200
34,42,6,0,48,0,167,0,221,FixerOnly,1.0,200
34,42,6,0,48,0,167,0,216,FixerOnly,1.0,200
34,42,6,0,48,0,167,0,201,FixerOnly,1.0,200
323,568,9,0,577,745,535,2019,456,FixerOnly,1.0,200
323,568,9,0,577,745,535,2148,521,FixerOnly,1.0,200
323,568,9,0,577,745,535,2144,434,FixerOnly,1.0,200
42,68,12,0,80,0,160,0,142,FixerOnly,1.0,200
42,68,12,0,80,0,160,0,150,FixerOnly,1.0,200
42,68,12,0,80,0,160,0,134,FixerOnly,1.0,200
128,210,15,0,225,0,257,131,364,FixerOnly,1.0,200
128,210,15,0,225,0,257,45,326,FixerOnly,1.0,200
128,210,15,0,225,0,257,130,214,FixerOnly,1.0,200
285,392,17,0,409,226,353,640,603,FixerOnly,1.0,200
285,392,17,0,409,226,353,647,596,FixerOnly,1.0,200
285,392,17,0,409,226,353,819,463,FixerOnly,1.0,200
110,164,1,0,165,11717,175,7621,299,FixerOnly,1.0,200
110,164,1,0,165,11717,175,7742,263,FixerOnly,1.0,200
110,164,1,0,165,11717,175,7880,314,FixerOnly,1.0,200
156,212,18,0,230,599,354,118,334,FixerOnly,1.0,200
156,212,18,0,230,599,354,128,461,FixerOnly,1.0,200
156,212,18,0,230,599,354,199,472,FixerOnly,1.0,200
342,559,11,0,570,1063,489,2845,447,FixerOnly,1.0,200
342,559,11,0,570,1063,489,3110,502,FixerOnly,1.0,200
342,559,11,0,570,1063,489,2343,551,FixerOnly,1.0,200
67,99,13,0,112,0,202,0,214,FixerOnly,1.0,200
67,99,13,0,112,0,202,0,179,FixerOnly,1.0,200
67,99,13,0,112,0,202,0,190,FixerOnly,1.0,200
155,242,11,0,253,0,280,225,294,FixerOnly,1.0,200
155,242,11,0,253,0,280,236,333,FixerOnly,1.0,200
155,242,11,0,253,0,280,355,336,FixerOnly,1.0,200
302,343,17,0,360,563,329,1958,319,FixerOnly,1.0,200
302,343,17,0,360,563,329,1809,283,FixerOnly,1.0,200
302,343,17,0,360,563,329,1569,327,FixerOnly,1.0,200
249,261,18,0,279,718,272,1260,299,FixerOnly,1.0,200
249,261,18,0,279,718,272,1046,254,FixerOnly,1.0,200
249,261,18,0,279,718,272,831,285,FixerOnly,1.0,200
486,901,19,0,920,632,577,2778,538,FixerOnly,1.0,200
486,901,19,0,920,632,577,3082,467,FixerOnly,1.0,200
486,901,19,0,920,632,577,2592,468,FixerOnly,1.0,200
179,234,2,0,236,1621,388,3021,565,FixerOnly,1.0,200
179,234,2,0,236,1621,388,3029,544,FixerOnly,1.0,200
179,234,2,0,236,1621,388,3195,442,FixerOnly,1.0,200
57,78,16,0,94,0,418,0,262,FixerOnly,1.0,200
57,78,16,0,94,0,418,0,219,FixerOnly,1.0,200
57,78,16,0,94,0,418,0,261,FixerOnly,1.0,200
171,188,19,0,207,0,221,87,347,FixerOnly,1.0,200
171,188,19,0,207,0,221,143,317,FixerOnly,1.0,200
171,188,19,0,207,0,221,160,372,FixerOnly,1.0,200
238,443,9,0,452,55,297,1418,369,FixerOnly,1.0,200
238,443,9,0,452,55,297,1669,348,FixerOnly,1.0,200
238,443,9,0,452,55,297,1505,412,FixerOnly,1.0,200
87,92,16,0,108,0,177,0,234,FixerOnly,1.0,200
87,92,16,0,108,0,177,0,216,FixerOnly,1.0,200
87,92,16,0,108,0,177,0,173,FixerOnly,1.0,200
459,743,10,0,753,3233,672,5487,509,FixerOnly,1.0,200
459,743,10,0,753,3233,672,7233,453,FixerOnly,1.0,200
459,743,10,0,753,3233,672,6653,584,FixerOnly,1.0,200
209,352,4,0,356,415,341,2206,447,FixerOnly,1.0,200
209,352,4,0,356,415,341,2850,399,FixerOnly,1.0,200
209,352,4,0,356,415,341,2684,363,FixerOnly,1.0,200
472,543,2,0,545,53180,622,49916,624,FixerOnly,1.0,200
472,543,2,0,545,53180,622,51530,522,FixerOnly,1.0,200
472,543,2,0,545,53180,622,51725,605,FixerOnly,1.0,200
432,763,6,0,769,12084,395,15001,405,FixerOnly,1.0,200
432,763,6,0,769,12084,395,14797,371,FixerOnly,1.0,200
432,763,6,0,769,12084,395,15686,461,FixerOnly,1.0,200
481,522,15,0,537,5234,349,6416,326,FixerOnly,1.0,200
481,522,15,0,537,5234,349,6167,348,FixerOnly,1.0,200
481,522,15,0,537,5234,349,6082,370,FixerOnly,1.0,200
10,12,10,0,22,0,66,0,46,FixerOnly,1.0,200
10,12,10,0,22,0,66,0,50,FixerOnly,1.0,200
10,12,10,0,22,0,66,0,43,FixerOnly,1.0,200
90,81,6,0,87,189,176,261,217,FixerOnly,1.0,200
90,81,6,0,87,189,176,260,221,FixerOnly,1.0,200
90,81,6,0,87,189,176,358,185,FixerOnly,1.0,200
