algorithm,mu,mut_prob,mut_std,temp,alpha,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,lambda_,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,mut_indpb,phi1,phi2,smin,smax,weight
ParticleSwarm,200.0,,,,,1.0,189,309,301,8,0,176.0,282,0.0,360,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,189,309,301,8,0,176.0,282,8.0,233,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,189,309,301,8,0,176.0,282,0.0,730,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,189,309,301,8,0,176.0,282,0.0,394,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,189,309,301,8,0,176.0,282,0.0,386,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,178,281,265,16,0,0.0,228,0.0,282,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,178,281,265,16,0,0.0,228,0.0,321,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,178,281,265,16,0,0.0,228,0.0,261,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,178,281,265,16,0,0.0,228,0.0,460,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,178,281,265,16,0,0.0,228,85.0,214,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,97,155,144,11,0,0.0,292,0.0,243,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,97,155,144,11,0,0.0,292,0.0,316,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,97,155,144,11,0,0.0,292,0.0,205,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,97,155,144,11,0,0.0,292,0.0,190,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,97,155,144,11,0,0.0,292,0.0,363,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,179,303,285,18,0,0.0,534,0.0,571,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,179,303,285,18,0,0.0,534,0.0,605,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,179,303,285,18,0,0.0,534,0.0,818,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,179,303,285,18,0,0.0,534,12.0,412,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,179,303,285,18,0,0.0,534,0.0,476,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,114,193,184,9,0,0.0,196,13.0,159,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,114,193,184,9,0,0.0,196,0.0,292,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,114,193,184,9,0,0.0,196,0.0,398,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,114,193,184,9,0,0.0,196,0.0,260,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,114,193,184,9,0,0.0,196,0.0,210,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,291,526,521,5,0,4715.0,373,1.0,541,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,291,526,521,5,0,4715.0,373,442.0,367,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,291,526,521,5,0,4715.0,373,0.0,1073,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,291,526,521,5,0,4715.0,373,0.0,524,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,291,526,521,5,0,4715.0,373,0.0,508,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,467,525,514,11,0,5237.0,412,0.0,524,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,467,525,514,11,0,5237.0,412,205.0,359,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,467,525,514,11,0,5237.0,412,0.0,532,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,467,525,514,11,0,5237.0,412,0.0,456,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,467,525,514,11,0,5237.0,412,0.0,981,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,31,65,46,19,0,0.0,194,0.0,257,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,31,65,46,19,0,0.0,194,0.0,84,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,31,65,46,19,0,0.0,194,0.0,18,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,31,65,46,19,0,0.0,194,0.0,168,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,31,65,46,19,0,0.0,194,0.0,19,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,32,41,32,9,0,0.0,81,0.0,51,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,32,41,32,9,0,0.0,81,0.0,33,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,32,41,32,9,0,0.0,81,0.0,22,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,32,41,32,9,0,0.0,81,0.0,202,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,32,41,32,9,0,0.0,81,0.0,111,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,336,379,376,3,0,23135.0,469,2277.0,428,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,336,379,376,3,0,23135.0,469,1568.0,641,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,336,379,376,3,0,23135.0,469,153.0,1961,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,336,379,376,3,0,23135.0,469,312.0,726,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,336,379,376,3,0,23135.0,469,1603.0,722,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,15,19,16,3,0,0.0,117,0.0,27,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,15,19,16,3,0,0.0,117,0.0,107,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,15,19,16,3,0,0.0,117,0.0,32,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,15,19,16,3,0,0.0,117,0.0,240,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,15,19,16,3,0,0.0,117,0.0,24,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,297,363,344,19,0,398.0,426,0.0,398,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,297,363,344,19,0,398.0,426,115.0,347,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,297,363,344,19,0,398.0,426,0.0,448,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,297,363,344,19,0,398.0,426,0.0,660,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,297,363,344,19,0,398.0,426,0.0,512,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,193,220,205,15,0,239.0,707,0.0,685,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,193,220,205,15,0,239.0,707,0.0,749,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,193,220,205,15,0,239.0,707,0.0,922,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,193,220,205,15,0,239.0,707,0.0,1103,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,193,220,205,15,0,239.0,707,1.0,684,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,158,279,276,3,0,2137.0,325,0.0,286,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,158,279,276,3,0,2137.0,325,0.0,383,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,158,279,276,3,0,2137.0,325,0.0,309,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,158,279,276,3,0,2137.0,325,0.0,277,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,158,279,276,3,0,2137.0,325,0.0,473,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,284,470,460,10,0,1268.0,375,289.0,647,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,284,470,460,10,0,1268.0,375,375.0,393,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,284,470,460,10,0,1268.0,375,0.0,1081,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,284,470,460,10,0,1268.0,375,0.0,811,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,284,470,460,10,0,1268.0,375,0.0,599,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
ParticleSwarm,200.0,,,,,1.0,312,368,349,19,0,65.0,412,0.0,485,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,312,368,349,19,0,65.0,412,0.0,532,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,312,368,349,19,0,65.0,412,160.0,360,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,312,368,349,19,0,65.0,412,0.0,970,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,312,368,349,19,0,65.0,412,0.0,642,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,217,258,240,18,0,309.0,314,89.0,217,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,217,258,240,18,0,309.0,314,0.0,225,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,217,258,240,18,0,309.0,314,0.0,391,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,217,258,240,18,0,309.0,314,0.0,277,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,217,258,240,18,0,309.0,314,0.0,351,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,265,286,282,4,0,15079.0,354,0.0,610,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,265,286,282,4,0,15079.0,354,36.0,575,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,265,286,282,4,0,15079.0,354,0.0,1227,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,265,286,282,4,0,15079.0,354,475.0,309,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,265,286,282,4,0,15079.0,354,7.0,612,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,432,794,786,8,0,1864.0,605,0.0,822,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,432,794,786,8,0,1864.0,605,0.0,674,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,432,794,786,8,0,1864.0,605,0.0,883,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,432,794,786,8,0,1864.0,605,365.0,534,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,432,794,786,8,0,1864.0,605,0.0,1111,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,98,107,106,1,0,11640.0,205,228.0,343,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,98,107,106,1,0,11640.0,205,1125.0,262,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,98,107,106,1,0,11640.0,205,0.0,666,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,98,107,106,1,0,11640.0,205,259.0,421,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,98,107,106,1,0,11640.0,205,0.0,461,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,309,337,331,6,0,6308.0,285,0.0,379,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,309,337,331,6,0,6308.0,285,0.0,639,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,309,337,331,6,0,6308.0,285,0.0,405,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,309,337,331,6,0,6308.0,285,89.0,242,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,309,337,331,6,0,6308.0,285,0.0,322,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
ParticleSwarm,200.0,,,,,1.0,423,485,466,19,0,2084.0,363,0.0,446,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,423,485,466,19,0,2084.0,363,579.0,303,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,423,485,466,19,0,2084.0,363,0.0,768,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,423,485,466,19,0,2084.0,363,0.0,461,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,423,485,466,19,0,2084.0,363,0.0,464,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,387,597,585,12,0,4241.0,658,0.0,912,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,387,597,585,12,0,4241.0,658,673.0,540,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,387,597,585,12,0,4241.0,658,0.0,998,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,387,597,585,12,0,4241.0,658,0.0,1242,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,387,597,585,12,0,4241.0,658,0.0,726,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,85,124,118,6,0,0.0,215,0.0,301,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,85,124,118,6,0,0.0,215,0.0,170,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,85,124,118,6,0,0.0,215,0.0,541,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,85,124,118,6,0,0.0,215,0.0,317,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,85,124,118,6,0,0.0,215,0.0,210,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,460,682,669,13,0,3535.0,329,714.0,281,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,460,682,669,13,0,3535.0,329,0.0,838,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,460,682,669,13,0,3535.0,329,0.0,444,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,460,682,669,13,0,3535.0,329,0.0,384,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,460,682,669,13,0,3535.0,329,0.0,444,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,477,684,665,19,0,2217.0,454,576.0,407,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,477,684,665,19,0,2217.0,454,0.0,497,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,477,684,665,19,0,2217.0,454,0.0,624,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,477,684,665,19,0,2217.0,454,0.0,652,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,477,684,665,19,0,2217.0,454,0.0,825,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,72,123,105,18,0,0.0,333,0.0,344,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,72,123,105,18,0,0.0,333,0.0,586,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,72,123,105,18,0,0.0,333,0.0,382,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,72,123,105,18,0,0.0,333,0.0,236,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,72,123,105,18,0,0.0,333,0.0,237,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,41,43,38,5,0,0.0,130,0.0,163,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,41,43,38,5,0,0.0,130,0.0,261,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,41,43,38,5,0,0.0,130,0.0,68,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,41,43,38,5,0,0.0,130,0.0,52,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,41,43,38,5,0,0.0,130,0.0,49,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,476,773,768,5,0,9611.0,432,0.0,1230,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,476,773,768,5,0,9611.0,432,1645.0,403,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,476,773,768,5,0,9611.0,432,7.0,624,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,476,773,768,5,0,9611.0,432,352.0,679,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,476,773,768,5,0,9611.0,432,0.0,596,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,100,103,96,7,0,0.0,330,0.0,577,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,100,103,96,7,0,0.0,330,0.0,404,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,100,103,96,7,0,0.0,330,0.0,229,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,100,103,96,7,0,0.0,330,0.0,332,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,100,103,96,7,0,0.0,330,0.0,248,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,53,78,73,5,0,0.0,311,0.0,207,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,53,78,73,5,0,0.0,311,0.0,389,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,53,78,73,5,0,0.0,311,0.0,165,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,53,78,73,5,0,0.0,311,0.0,214,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,53,78,73,5,0,0.0,311,0.0,313,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,489,552,546,6,0,20948.0,353,0.0,499,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,489,552,546,6,0,20948.0,353,95.0,566,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,489,552,546,6,0,20948.0,353,6.0,561,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,489,552,546,6,0,20948.0,353,1784.0,317,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,489,552,546,6,0,20948.0,353,0.0,1112,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,447,738,723,15,0,5201.0,599,5003.0,557,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,447,738,723,15,0,5201.0,599,2789.0,2131,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,447,738,723,15,0,5201.0,599,2924.0,1954,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,447,738,723,15,0,5201.0,599,3461.0,2135,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,447,738,723,15,0,5201.0,599,3647.0,1394,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,59,95,80,15,0,0.0,185,0.0,121,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,59,95,80,15,0,0.0,185,0.0,229,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,59,95,80,15,0,0.0,185,0.0,246,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,59,95,80,15,0,0.0,185,0.0,120,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,59,95,80,15,0,0.0,185,0.0,281,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,299,327,319,8,0,8351.0,276,787.0,280,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,299,327,319,8,0,8351.0,276,12.0,520,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,299,327,319,8,0,8351.0,276,13.0,1232,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,299,327,319,8,0,8351.0,276,0.0,396,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,299,327,319,8,0,8351.0,276,0.0,378,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,457,843,834,9,0,3058.0,402,0.0,560,10.0,,,,,,,0.5,,,,,
