assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb
297,363,344,19,0,398.0,426,0.0,430,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
297,363,344,19,0,398.0,426,0.0,413,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
297,363,344,19,0,398.0,426,0.0,433,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
193,220,205,15,0,239.0,707,0.0,734,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
193,220,205,15,0,239.0,707,0.0,734,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
193,220,205,15,0,239.0,707,0.0,763,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
158,279,276,3,0,2137.0,325,0.0,336,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
158,279,276,3,0,2137.0,325,0.0,336,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
158,279,276,3,0,2137.0,325,0.0,320,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
284,470,460,10,0,1268.0,375,4.0,577,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
284,470,460,10,0,1268.0,375,0.0,529,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
284,470,460,10,0,1268.0,375,0.0,531,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
312,368,349,19,0,65.0,412,0.0,462,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
312,368,349,19,0,65.0,412,0.0,481,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
312,368,349,19,0,65.0,412,0.0,457,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
217,258,240,18,0,309.0,314,0.0,280,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
217,258,240,18,0,309.0,314,0.0,294,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
217,258,240,18,0,309.0,314,0.0,282,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
265,286,282,4,0,15079.0,354,1.0,462,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
265,286,282,4,0,15079.0,354,0.0,480,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
265,286,282,4,0,15079.0,354,0.0,442,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
432,794,786,8,0,1864.0,605,0.0,693,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
432,794,786,8,0,1864.0,605,0.0,684,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
432,794,786,8,0,1864.0,605,0.0,693,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
98,107,106,1,0,11640.0,205,0.0,294,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
98,107,106,1,0,11640.0,205,0.0,319,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
98,107,106,1,0,11640.0,205,0.0,321,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
309,337,331,6,0,6308.0,285,0.0,345,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
423,485,466,19,0,2084.0,363,0.0,453,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
423,485,466,19,0,2084.0,363,0.0,410,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
423,485,466,19,0,2084.0,363,0.0,440,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
387,597,585,12,0,4241.0,658,0.0,685,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
387,597,585,12,0,4241.0,658,0.0,724,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
387,597,585,12,0,4241.0,658,0.0,691,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
85,124,118,6,0,0.0,215,0.0,240,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
85,124,118,6,0,0.0,215,0.0,217,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
85,124,118,6,0,0.0,215,0.0,254,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
460,682,669,13,0,3535.0,329,0.0,429,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
460,682,669,13,0,3535.0,329,0.0,427,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
460,682,669,13,0,3535.0,329,0.0,425,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
477,684,665,19,0,2217.0,454,0.0,528,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
477,684,665,19,0,2217.0,454,0.0,517,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
477,684,665,19,0,2217.0,454,0.0,538,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
72,123,105,18,0,0.0,333,0.0,298,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
72,123,105,18,0,0.0,333,0.0,292,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
72,123,105,18,0,0.0,333,0.0,280,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
41,43,38,5,0,0.0,130,0.0,81,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
41,43,38,5,0,0.0,130,0.0,77,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
41,43,38,5,0,0.0,130,0.0,77,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
476,773,768,5,0,9611.0,432,0.0,610,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
476,773,768,5,0,9611.0,432,0.0,635,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
476,773,768,5,0,9611.0,432,1.0,659,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
100,103,96,7,0,0.0,330,0.0,317,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
100,103,96,7,0,0.0,330,0.0,316,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
100,103,96,7,0,0.0,330,0.0,313,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
53,78,73,5,0,0.0,311,0.0,237,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
53,78,73,5,0,0.0,311,0.0,270,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
53,78,73,5,0,0.0,311,0.0,257,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
489,552,546,6,0,20948.0,353,4.0,576,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
447,738,723,15,0,5201.0,599,3454.0,1514,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
447,738,723,15,0,5201.0,599,3583.0,1437,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
447,738,723,15,0,5201.0,599,3453.0,1449,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
59,95,80,15,0,0.0,185,0.0,161,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
59,95,80,15,0,0.0,185,0.0,164,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
59,95,80,15,0,0.0,185,0.0,187,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
299,327,319,8,0,8351.0,276,0.0,394,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
299,327,319,8,0,8351.0,276,0.0,372,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
299,327,319,8,0,8351.0,276,0.0,394,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
457,843,834,9,0,3058.0,402,0.0,466,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
457,843,834,9,0,3058.0,402,0.0,528,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
457,843,834,9,0,3058.0,402,0.0,520,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
345,404,395,9,0,7512.0,391,0.0,437,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
345,404,395,9,0,7512.0,391,0.0,436,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
345,404,395,9,0,7512.0,391,0.0,422,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
401,662,643,19,0,135.0,364,0.0,495,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
401,662,643,19,0,135.0,364,0.0,483,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
401,662,643,19,0,135.0,364,0.0,469,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
297,500,486,14,0,14.0,501,0.0,526,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
297,500,486,14,0,14.0,501,0.0,553,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
297,500,486,14,0,14.0,501,0.0,547,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
462,690,685,5,0,7781.0,598,0.0,704,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
462,690,685,5,0,7781.0,598,0.0,825,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
462,690,685,5,0,7781.0,598,0.0,710,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
314,541,522,19,0,66.0,591,0.0,591,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
314,541,522,19,0,66.0,591,0.0,583,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
314,541,522,19,0,66.0,591,0.0,590,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
105,126,113,13,0,20.0,173,0.0,187,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
105,126,113,13,0,20.0,173,0.0,224,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
105,126,113,13,0,20.0,173,0.0,210,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
458,652,648,4,0,16170.0,845,0.0,969,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
458,652,648,4,0,16170.0,845,26.0,1113,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
413,640,625,15,0,560.0,600,0.0,623,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
413,640,625,15,0,560.0,600,0.0,657,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
413,640,625,15,0,560.0,600,0.0,642,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
247,269,258,11,0,930.0,337,0.0,370,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
247,269,258,11,0,930.0,337,0.0,370,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
247,269,258,11,0,930.0,337,0.0,383,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
195,220,214,6,0,3551.0,207,0.0,271,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
195,220,214,6,0,3551.0,207,0.0,275,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
195,220,214,6,0,3551.0,207,0.0,281,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
109,129,117,12,0,0.0,289,0.0,300,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
109,129,117,12,0,0.0,289,0.0,295,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
109,129,117,12,0,0.0,289,0.0,290,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
367,666,664,2,0,12547.0,622,0.0,665,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
367,666,664,2,0,12547.0,622,0.0,695,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
367,666,664,2,0,12547.0,622,0.0,636,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
236,334,329,5,0,3148.0,435,0.0,513,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
236,334,329,5,0,3148.0,435,0.0,559,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
236,334,329,5,0,3148.0,435,46.0,533,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
177,297,286,11,0,121.0,374,0.0,428,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
177,297,286,11,0,121.0,374,0.0,417,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
177,297,286,11,0,121.0,374,0.0,414,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
220,373,360,13,0,0.0,356,0.0,435,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
220,373,360,13,0,0.0,356,0.0,413,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
220,373,360,13,0,0.0,356,0.0,406,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
363,649,639,10,0,771.0,425,0.0,530,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
363,649,639,10,0,771.0,425,0.0,533,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
363,649,639,10,0,771.0,425,0.0,529,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
424,464,452,12,0,6359.0,378,0.0,474,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
424,464,452,12,0,6359.0,378,0.0,463,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
424,464,452,12,0,6359.0,378,0.0,466,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
346,607,592,15,0,0.0,920,0.0,970,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
278,395,393,2,0,14622.0,500,0.0,662,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
278,395,393,2,0,14622.0,500,15.0,644,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
278,395,393,2,0,14622.0,500,0.0,611,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
399,735,726,9,0,1519.0,390,0.0,497,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
399,735,726,9,0,1519.0,390,0.0,590,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
399,735,726,9,0,1519.0,390,0.0,530,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
219,339,338,1,0,23882.0,558,5186.0,905,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
219,339,338,1,0,23882.0,558,6713.0,839,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
219,339,338,1,0,23882.0,558,4967.0,916,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
298,432,430,2,0,15297.0,372,828.0,682,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
298,432,430,2,0,15297.0,372,987.0,667,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
298,432,430,2,0,15297.0,372,1006.0,729,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
442,666,661,5,0,11641.0,460,0.0,583,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
442,666,661,5,0,11641.0,460,12.0,575,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
442,666,661,5,0,11641.0,460,0.0,569,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
270,431,425,6,0,2126.0,291,0.0,365,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
270,431,425,6,0,2126.0,291,0.0,374,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
270,431,425,6,0,2126.0,291,0.0,363,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
57,88,78,10,0,0.0,234,0.0,157,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
57,88,78,10,0,0.0,234,0.0,155,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
57,88,78,10,0,0.0,234,0.0,161,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
251,287,275,12,0,1743.0,201,0.0,304,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
251,287,275,12,0,1743.0,201,0.0,322,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
251,287,275,12,0,1743.0,201,0.0,300,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
316,356,338,18,0,649.0,433,0.0,472,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
316,356,338,18,0,649.0,433,0.0,472,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
316,356,338,18,0,649.0,433,0.0,477,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
354,428,410,18,0,1072.0,252,0.0,336,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
354,428,410,18,0,1072.0,252,0.0,333,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
354,428,410,18,0,1072.0,252,0.0,317,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
497,751,735,16,0,467.0,525,0.0,518,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
497,751,735,16,0,467.0,525,0.0,566,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
50,75,66,9,0,0.0,190,0.0,116,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
50,75,66,9,0,0.0,190,0.0,141,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
50,75,66,9,0,0.0,190,0.0,127,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
358,581,567,14,0,222.0,472,0.0,600,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
358,581,567,14,0,222.0,472,0.0,520,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
358,581,567,14,0,222.0,472,0.0,477,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
167,233,219,14,0,0.0,305,0.0,361,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
167,233,219,14,0,0.0,305,0.0,333,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
167,233,219,14,0,0.0,305,0.0,357,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
